CJS Offence Code,Offence Title,Legislation,Offence Category Code,Custodial Indicator,Recordable On PNC Indicator,DVLA Code,Offence Start Date,Blocked for use,XHB Indicator,Offence Class
AC02004,Without leave of a court / authority remove child not yet placed for adoption from Local authority accommodation,Contrary to section 30(2) and (8) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02005,Remove a child not yet placed for adoption from accommodation provided by an adoption agency,Contrary to section 30(3) and (8) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02006,Prospective adopter fail to return a child not placed within seven days of receipt of a section 31(4) notice,Contrary to section 31(5) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02007,Prospective adopter fails to return child placed for adoption consent withdrawn w/i 14 days of receipt of s.32(2) notice,Contrary to section 32 of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02008,Prospective adopter fail to return child placed for adoption on a date determined by the court,Contrary to section 33 of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02009,Remove child from prospective adopter - placement order in force,"Contrary to section 34(1)(a), (2) and (5) of the Adoption and Children Act 2002.",CS,Y,Y,,12-Mar-15,N,N,S
AC02010,Remove child from prospective adopter - placement revoked but child remains with adopter / Local Authority,"Contrary to section 34(1)(b), (2) and (5) of the Adoption and Children Act 2002.",CS,Y,Y,,12-Mar-15,N,N,S
AC02011,Prospective adopter fail to return child to adoption agency within 7 days of notice of section 35(2) notice,Contrary to section 35(2) and (4) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02012,Fail to return child to parent / guardian on request made under sections 36 to 40 of the Act,Contrary to section 36(5) and (6)(a) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02013,Remove a child in contravention of the section 36 of the Act,Contrary to section 36(6)(b) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02014,Bring / cause another to bring child resident outside British Islands to UK for purpose of adoption by British resident,Contrary to Section 83(1)(a) &amp; (8) of the Adoption and Children Act 2002.,CI,Y,Y,,02-Dec-05,N,N,3
AC02015,Bring / cause another to bring into UK a child adopted by a British resident under external adoption within 6 months,Contrary to Section 83(1)(b) &amp; (8) of the Adoption and Children Act 2002.,CI,Y,Y,,02-Dec-05,N,N,3
AC02016,Remove from UK a child who is Commonwealth citizen / resident of UK for the purpose of adoption,Contrary to section 85(4) and (6) of the Adoption and Children Act 2002.,CI,Y,Y,,03-Dec-05,N,N,3
AC02017,Person who is not an adoption agency or acting under High Court order take steps prohibited in section 92(2) of the Act,Contrary to section 93(1) and (5) of the Adoption and Children Act 2002.,CS,Y,Y,,13-Mar-15,N,N,S
AC02018,Without authority prepare a report re suitability of a child for adoption / person to adopt child,Contrary to section 94 of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02019,Make a prohibited payment regarding adoption / consent to adoptions / removal from UK of a child,Contrary to section 95 of the Adoption and Children Act 2002.,CS,Y,Y,,13-Mar-15,N,N,S
AC02020,Breach a section 123 restriction on the publication / distribution of an advert / information relating to child adoption,Contrary to Section 124 of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC02022,Prospective adopter fail to return child on revocation of placement order,Contrary to section 34(3) and (5) of the Adoption and Children Act 2002.,CS,Y,Y,,12-Mar-15,N,N,S
AC09001,Fill motor vehicle a/c system with fluorinated greenhouse gases after refrigerant leak and repair incomplete,Contrary to regulations 3 and 4 of the Motor Vehicles (Refilling of Air Conditioning Systems by Service Provider) Regulations 2009.,CS,N,N,,10-Sep-09,N,N,S
AC09002,Without reasonable excuse obstruct an officer when acting in pursuance of a provision of the regulations,Contrary to Regulation 7(1)(a) and 4 of the Motor Vehicles (Refilling of Air Conditioning Systems by Service Provider) Regulations 2009.,CS,N,N,,10-Sep-09,N,N,S
AC09003,Without reasonable excuse fail to comply with a requirement made by an officer under any provision of the regulations,Contrary to Regulation 7(1)(b) and 4 of the Motor Vehicles (Refilling of Air Conditioning Systems by Service Provider) Regulations 2009.,CS,N,N,,10-Sep-09,N,N,S
AC09004,Without reasonable excuse fail to give an officer assistance / information for the exercise functions under regulations,Contrary to Regulation 7(1)(c) and 4 of the Motor Vehicles (Refilling of Air Conditioning Systems by Service Provider) Regulations 2009.,CS,N,N,,10-Sep-09,N,N,S
AC09005,Knowingly make a statement which was false in a material particular,Contrary to Regulation 7(2)(a) and 4 of the Motor Vehicles (Refilling of Air Conditioning Systems by Service Provider) Regulations 2009.,CS,N,N,,10-Sep-09,N,N,S
AC09006,Recklessly make a statement which was false in a material particular,Contrary to Regulation 7(2)(b) and 4 of the Motor Vehicles (Refilling of Air Conditioning Systems by Service Provider) Regulations 2009.,CS,N,N,,10-Sep-09,N,N,S
AC09007,Not being an enforcement officer of the Secretary of State / Local Authority purported to act as such,Contrary to Regulation 8(9) and 4 of the Motor Vehicles (Refilling of Air Conditioning Systems by Service Provider) Regulations 2009.,CS,N,N,,10-Sep-09,N,N,S
AC16001,Fail to comply with Article 15(1) of EC Regulation 178 of 2002 by placing unsafe feed on the market,"Contrary to regulations 4 and 18(1) of the Animal Feed (Composition, Marketing and Use) (Wales) Regulations 2016. ",CS,Y,Y,,12-May-16,N,N,S
AC95001,Do an act not in accordance with a licence under the Adventure Activities Licensing Regulations 2004,Contrary to regulation 16 of the Adventure Activities Licensing Regulations 2004 and section 2(1)(a) and (2) of the Activity Centres (Young Persons' Safety) Act 1995.,CE,Y,Y,,13-Mar-15,N,N,3
AC95002,Make / recklessly make a false statement to licensing authority - Activity Centres,Contrary to regulation 16 of the Adventure Activities Licensing Regulations 2004 and section 2(1)(b) and (2) of the Activity Centres (Young Persons' Safety) Act 1995.,CE,Y,Y,,13-Mar-15,N,N,3
AD70001,Harass a debtor - Administration of Justice Act 1970,Contrary to section 40(1)(a) and(4) of the Administration of Justice Act 1970.,CS,N,N,,14-Mar-15,N,N,S
AD70002,Concert with another to harass a debtor - Admin. of Justice Act 1970,"Contrary to section 40(1)(a), (2) and(4) of the Administration of Justice Act 1970.",CS,N,N,,13-Mar-15,N,N,S
AD70003,Falsely represent re money claimed that criminal proceedings lie re failure to pay - Admin. of Justice Act 1970,Contrary to section 40(1)(b) and(4) of the Administration of Justice Act 1970.,CS,N,N,,13-Mar-15,N,N,S
AD70004,Falsely represent self to be authorised in official capacity to claim / enforce payment - Admin. of Justice Act 1970,Contrary to section 40(1)(c) and(4) of the Administration of Justice Act 1970.,CS,N,N,,13-Mar-15,N,N,S
AD70005,Utter a document falsely representing it to have official character,Contrary to section 40(1)(d) and(4) of the Administration of Justice Act 1970.,CS,N,N,,13-Mar-15,N,N,S
AE07001,Enter / leave the Protected Area of AWE Aldermaston except by way of an official entrance / exit,Contrary to byelaw 5(a) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07002,Remain in the Protected Area of AWE Aldermaston after having been directed to leave by a PC / authorised person,Contrary to byelaw 5(b) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07003,Obstruct a lawful user acting in the proper exercise of his / her duty within the Protected Area of AWE Aldermaston,Contrary to byelaw 5(c) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07004,Cause a vehicle / aircraft / animal / thing to enter the Protected Area of AWE Aldermaston,Contrary to byelaw 5(d) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07005,Permit a vehicle / aircraft / animal / thing to enter the Protected Area of AWE Aldermaston,Contrary to byelaw 5(d) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07006,Take photograph of a person / thing within the Protected Area of AWE Aldermaston,Contrary to byelaw 5(e) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07007,Make an oral / written false statement / misrepresentation to obtain entry to the Protected Area of AWE Aldermaston,Contrary to byelaw 5(f) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07008,Board / interfere with the movement of a vehicle / aircraft within a Protected Area of AWE Aldermaston,Contrary to byelaw 5(g) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07009,Attach / place thing over a wall / fence / structure / surface surrounding / w/i the Protected Area of AWE Aldermaston,Contrary to byelaw 5(h) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07010,Interfere / obstruct use of property within the Protected Area of AWE Aldermaston under Crown / visiting force control,Contrary to byelaw 5(i) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07011,Remove property under Crown / visiting force or agents / contractors control w/i the Protected Area of AWE Aldermaston,Contrary to byelaw 5(j) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07012,Deface a sign / wall / fence / structure / surface within the Protected Area of AWE Aldermaston,Contrary to byelaw 5(k) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07013,Obstruct lawful user / other acting in proper exercise of his / her duty within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(a) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07014,Enter enclosed / prohibited / restricted / privately occupied part within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(b) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,02-Jun-07,N,N,S
AE07015,Carry a firearm / offensive weapon within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(c) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,02-Jun-07,N,N,S
AE07016,Interfere / obstruct use of property under Crown / service authorities of visiting force control within Controlled Area,Contrary to byelaw 7(2)(d) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07017,Remove property under Crown / service authorities of a visiting force control within a Controlled Area,Contrary to byelaw 7(2)(e) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07018,Camp within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(f) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07019,Attach / place thing over a wall / fence / structure / surface surrounding / within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(g) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07020,Cause a nuisance / behave in an indecent / obscene manner within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(h) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07021,Deposit industrial refuse / rubble / waste / litter / abandon a vehicle or part / other article within a Controlled Area,Contrary to byelaw 7(2)(i) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,02-Jun-07,N,N,S
AE07022,Act in a way likely to cause annoyance / nuisance / injury to others within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(j) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07023,Light bonfires / do anything likely to cause an outbreak of fire within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(k) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07024,Fail to keep under control a dog / other animal within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(l) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07025,Fail to keep a dog on a short lead during the bird nesting season within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(m) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07026,Fail to remove waste created by a dog / other animal within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(n) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07027,Deface a sign / wall / fence / structure / other surface within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(o) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07028,Engage in a trade / business within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(p) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07029,Ride / drive / conduct an animal / vehicle for trade / advertisement within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(p) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07030,Cause the riding / driving / conducting of animal / vehicle for trade / advert w/i a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(p) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07031,Use / employ an animal / vehicle for trade / advertisement within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(p) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07032,Use an audible means wholly / mainly for trade / advertisement within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(p) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07033,Damage / cut / remove crops / turves / plants / roots / trees within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(q) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07034,Graze an animal within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(r) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07035,Kill / trap a bird / animal take / destroy eggs within a Controlled Area of AWE Aldermaston,Contrary to byelaw 7(2)(s) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07036,Dig / search / interfere with / take an item found within a Controlled Areas of AWE Aldermaston,Contrary to byelaw 7(2)(t) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE07037,Fail to remain on a road when riding a bicycle / driving a vehicle in a Controlled / Protected Area of AWE Aldermaston,Contrary to byelaw 8(2) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07038,Ride bicycle / drive vehicle in Controlled / Protected Area AWE Aldermaston fail to comply with directions,Contrary to byelaw 8(3)(a) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07039,Ride bicycle / drive vehicle in Controlled / Protected Area AWE Aldermaston fail to comply with military / traffic sign,Contrary to byelaw 8(3)(b) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07040,Ride bicycle / drive vehicle without due care and attention in a Controlled / Protected Area of AWE Aldermaston,Contrary to byelaw 8(3)(c) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07041,Ride bicycle / drive vehicle on a road without lights during darkness in Controlled / Protected Area of AWE Aldermaston,Contrary to byelaw 8(4) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07042,Drive / in charge of a vehicle in Controlled / Protected Area of AWE Aldermaston without appropriate driving documents,Contrary to byelaw 8(5) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07043,Stop / park veh in a Controlled / Protected Area of AWE Aldermaston - No Parking / Waiting except to load / unload,Contrary to byelaw 8(6) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,31-May-07,N,N,S
AE07044,Fail to comply with direction to leave / remove veh / aircraft / animal / thing from Controlled Area of AWE Aldermaston,Contrary to byelaw 7(1) and 9 of the Atomic Weapons Establishment (AWE) Aldermaston Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-Jun-07,N,N,S
AE10001,Enter / leave the Protected Area of AWE Burghfield except by way of an official entrance / exit,Contrary to byelaw 5(a) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10002,Remain in the Protected Area of AWE Burghfield after having been directed to leave by a PC / authorised person,Contrary to byelaw 5(b) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10003,Obstruct a lawful user acting in the proper exercise of his / her duty within the Protected Area of AWE Burghfield,Contrary to byelaw 5(c) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10004,Cause a vehicle / aircraft / animal / thing to enter into the Protected Area of AWE Burghfield,Contrary to byelaw 5(d) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10005,Permit a vehicle / aircraft / animal / thing to enter into the Protected Area of AWE Burghfield,Contrary to byelaw 5(d) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10006,Take photograph of a person / thing within the Protected Area of AWE Burghfield,Contrary to byelaw 5(e) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10007,Make an oral / written false statement / misrepresentation to obtain entry to the Protected Area of AWE Burghfield,Contrary to byelaw 5(f) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10008,Board / interfere with the movement of a vehicle / aircraft within the Protected Area of AWE Burghfield,Contrary to byelaw 5(g) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10009,Interfere / obstruct use of property within a Protected Area of AWE Burghfield under Crown / visiting force control,Contrary to byelaw 5(h) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10010,Remove property under Crown / visiting force or agents / contractors control within the Protected Area of AWE Burghfield,Contrary to byelaw 5(i) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10011,Deface a sign / wall / fence / structure / surface within a Protected Area of AWE Burghfield,Contrary to byelaw 5(j) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10012,Obstruct lawful user / other acting in proper exercise of his / her duty within a Controlled Area of AWE Burghfield,Contrary to byelaw 7(a) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10013,Enter enclosed / prohibited / restricted / privately occupied part within a Controlled Area of AWE Burghfield,Contrary to byelaw 7(b) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2007 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10014,Carry a firearm / offensive weapon within a Controlled Area of AWE Burghfield,Contrary to byelaw 7(c) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,02-May-10,N,N,S
AE10015,Interfere / obstruct use of property under Crown / service authorities control w/i Controlled Area AWE Burghfield,Contrary to byelaw 7(d) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
AE10016,Remove property under Crown / service authorities of a visiting force control within a Controlled Area AWE Burghfield,Contrary to byelaw 7(e) and 9 of the Atomic Weapons Establishment (AWE) Burghfield Byelaws 2010 and section 17(2) of the Military Lands Act 1892.,CS,N,N,,01-May-10,N,N,S
